"CityCode","CityName","Latitude","Longitude","CountryCode"
"0104","Abashiri","44.0206027","144.2732035","JP"
"0203","Akita","39.7197629","140.1034669","JP"
"0201","Aomori","40.8222833","140.7472027","JP"
"0106","Asahikawa","43.770625","142.3649743","JP"
"4003","Cairns","-16.9206657","145.7721854","AU"
"3009","Harbin","45.7593633","126.6276177","CN"
"4001","Honolulu","21.304547","-157.855676","US"
"3103","Ikaho","36.493","138.933","JP"
"2001","Karuizawa","36.3601","138.633","JP"
"0206","katsuura","35.1521846","140.3207449","JP"
"0207","kitaibaraki","36.8018507","140.7513188","JP"
"4002","KualaLumpur","3.1579","101.7123","MY"
"3101","Kusatsu","36.617","138.596","JP"
"0101","Kushiro","42.9849503","144.3820491","JP"
"0205","Kyoto","35.0115754","135.7681441","JP"
"4006","Lima","-12.0621065","-77.0365256","PE"
"3007","Longyearbyen","78.2231558","15.6463656","SJ"
"3102","Minakami","36.6785606","138.9991545","JP"
"0202","Morioka","39.7021331","141.1545397","JP"
"2003","Nasu","36.994","140.026","JP"
"0102","Nemuro","43.3301518","145.5833876","JP"
"0204","Niigata","37.9163757","139.0365062","JP"
"3003","Norilsk","69.3444054","88.2096151","RU"
"3006","Nuuk","64.1766835","-51.7359356","GL"
"0105","Obihiro","42.923809","143.1966324","JP"
"0003","Oymyakon","63.4629473","142.7869693","RU"
"4005","RioDeJaneiro","-22.9110137","-43.2093727","BR"
"0107","Sapporo","43.061936","141.3542924","JP"
"4004","Seoul","37.5666791","126.9782914","KR"
"2002","Sugadaira","36.5297","138.3333","JP"
"0002","Sydney","-33.8698439","151.2082848","AU"
"2101","Takayama","36.1396246","137.2510322","JP"
"0001","Tokyo","35.6768601","139.7638947","JP"
"3010","Tromso","69.6516345","18.9558585","NO"
"3008","Ulaanbaatar","47.9184676","106.9177016","MN"
"3004","Utqiagvik","71.2905366","-156.78844","US"
"4007","Vancouver","49.2608724","-123.113952","CA"
"3002","Verkhoyansk","67.5495068","133.3874618","RU"
"0103","Wakkanai","45.4158108","141.6730309","JP"
"3005","Yellowknife","62.4540807","-114.377385","CA"
